,Component_1,Component_2
0,0.0028517915067228046,0.0025354429379736937
1,0.13541409075088942,0.02692055432845506
2,0.11317268569876054,0.041984825096910976
3,0.0409024974906077,0.005529746003936869
4,0.17998025409251606,8.80242751321799e-05
5,0.24561534148043804,0.055343846756997335
6,0.001448010023754988,0.09313851734263853
7,0.2095949182156825,0.003170120639003012
8,0.10951347597061938,0.024893049553833157
9,0.034140511754120896,0.003873889878522077
10,0.08948984533562107,0.00869874621614641
11,0.2391865812641065,0.014301609482563718
12,0.19603258389982742,0.44959978679275275
13,0.02823373170638768,0.2119971829064755
14,0.0023943234017483658,0.8988139127171575
15,0.0022585014985035557,0.01673024272023036
16,0.004177322908637771,0.001266152050117277
17,0.07126126730432016,0.016972710354531496
18,0.016194306710725425,0.1831802168366538
19,0.11587442176145171,0.2706777714832536
20,0.1865516439648219,0.24600926142521193
21,0.01643868134268287,0.2835981105957078
22,0.24031218388025355,0.05199260374055438
23,0.00010945525626729268,0.2506722735776703
24,0.11661097550091455,0.12223679062293297
25,0.17060142773994189,0.11041398705167706
26,0.18945124267483232,0.0028933646739874824
27,0.002025075704241172,0.029000213225564613
28,0.006201412320202833,0.05961072317730265
29,0.014866603196988477,0.19160291352183773
30,0.07062362690763234,0.0036390812946863896
31,0.2706855539162615,0.012446071916537458
32,0.037279714014187046,0.4122033602037155
33,0.24341709554816074,0.002329851292348649
34,0.026243067271755374,0.010979370732475227
35,0.06233699741352556,0.12176294185497563
36,0.04259024685257648,0.10802874174406084
37,0.13869948867799392,0.0005387934006930153
38,0.2218833013198835,0.00993330763987432
39,0.07603480553107289,0.10050364345496206
40,0.04756953186727587,0.043948338993750814
41,0.012026082136800897,0.002903561081712628
42,0.28191339301444407,0.13028519277630113
43,0.124275386097581,0.00011027755935186036
44,0.131644603572943,0.33513505008701955
45,0.28277393187531835,0.011265248230405492
46,0.06639501686941576,0.00041223086100924554
47,0.033793531025830555,0.08225212696451725
48,0.10833985942254938,0.002160336302265809
49,0.07290362760835153,0.3049304050345433
50,0.0747481901354616,0.0006719377135368607
51,0.1025050823881542,5.537433732253802e-05
52,1.929712692804372e-05,0.09710414719245736
53,0.006180497493995673,0.12283787785579714
54,0.047256356064522574,0.0009022345873316151
55,0.22371585640087469,0.0760728011822748
56,0.002800213709366833,0.014478495742146786
57,0.03988740785653528,0.06363301736307016
58,0.14452806433038792,0.004901398561229904
59,0.00405763854342365,0.26049074911932646
60,0.006921476947364358,0.16306415533863783
61,0.04060173780299629,0.004082929693611474
62,0.039726345137762714,0.13207575455992226
63,0.03056701535394012,0.016627189070463864
64,0.11543198366945936,0.18541042332898766
65,0.0392357532774604,0.0025135000722061288
66,0.06332203089552052,0.1400166902254592
67,0.06129002623809787,0.42256665223418177
68,0.09692942238709909,0.08400210563288862
69,0.19498765439677737,0.004731426028431158
70,0.17675525564132336,0.018422836551372994
71,0.23587292825739395,0.002029335091305317
72,0.026041439877572396,0.010981845223640999
73,0.1891422635113923,0.027748885207933952
74,0.2746754428198968,0.0083683360358459
75,0.004186453816448723,8.59052932063868e-05
76,0.023281736336507552,0.010264504571301765
77,0.12843353418121048,0.440573698316963
