,Projet - Coût estimé,Projet - Coût réel,Projet - Durée du projet (en jours),Projet - Avancement (%),"Ressources - Quantité des matériaux (kg, m3)",Ressources - Heures de travail,Ressources - Nombre d’équipements utilisés,Ressources - Consommation énergétique (kWh),Caractéristiques bâtiment - Surface totale (m²),Caractéristiques bâtiment - Nombre d’étages,Caractéristiques bâtiment - Volume (m3),Caractéristiques bâtiment - Hauteur (m),Caractéristiques bâtiment - Indice de performance énergétique,Caractéristiques bâtiment - Consommation énergétique annuelle (kWh),Qualité / Sécurité - Nombre d’incidents,Qualité / Sécurité - Nombre d’accidents,Environnement - Volume déchets produits (kg),Environnement - Émissions CO2 (kg),Environnement - Consommation d’eau (m3),Environnement - Niveau sonore (dB),Données complémentaires - Note satisfaction client (sur une échelle quantitative)
Component_1,0.7016923956938687,0.7010245620595431,-0.04771787185815934,-0.01529215817060716,0.032945831596025134,-0.012334664669745123,-0.0475974449761429,-0.037040586573819055,-0.004222158389558275,-0.008708057595745047,0.04050954608911508,0.02739808821712475,-0.04388266876801537,0.003605287272493879,0.04937324157448428,-0.020261060586668066,0.015594398812549932,0.029481188215666518,-0.0049125252726598175,0.01647191193423633,-0.011241618169916628
Component_2,0.021498969106587967,0.0070079975721356975,0.38675863209080885,0.10166861873586001,-0.13617840757049346,-0.16743228072598973,0.29557203826765466,-0.19682525600975453,0.31539151002172966,-0.2273147823150684,0.04258240074073671,0.2999457825201793,-0.27248629104819366,0.1411106194500643,-0.27536155831926196,-0.10758320739615991,0.08025278238937299,0.009845947095367253,-0.29247237413631355,-0.38020851280386825,-0.0759544168555535
Component_3,-0.003962749070315404,-0.013573288984170817,0.15344254581307465,0.1286600348067295,0.09949342791495445,0.10575422858745355,0.321281214015301,-0.24988797066516708,-0.12273792276063107,0.3093791805613528,0.49212376009634096,0.10408274439187422,-0.04717967022201204,-0.19713756255747958,-0.02040916936099955,0.3028078504683526,0.3680291028423169,0.18043031083408329,0.3210095954706063,0.06677837944321216,-0.021192954366514923
Component_4,0.005666757579038051,0.0021001657097341887,-0.00157070981577127,0.40012503010092926,-0.20914836376728096,0.10900742412010549,0.16858986953954094,-0.13280606566875242,0.08439059341192853,0.03669032971987199,0.11233590779370262,-0.40835199844226433,-0.1277046459935994,0.18720808850969523,0.2751772346268824,-0.29336108676736206,-0.0528354550837465,0.044445357014351115,0.024231489423254836,-0.027892421142243475,0.5753833028324868
Component_5,0.004413289263834815,0.007605691307601991,-0.2155377508308789,0.018771925654249056,0.2267136275207628,0.27089695229687916,0.2725293433536915,0.4021266782344952,0.06914111243406351,0.1459305640551911,0.06983639950701817,0.08922882302851133,-0.011484702158042917,0.28497802754955537,-0.27814887912137204,-0.16400011872511175,-0.27008069555900716,0.5307065449518034,0.06076466758158456,-0.07900479751599322,-0.057462773211156525
Component_6,-0.010606634356167636,-0.004171304063925902,0.07816307321012399,0.04858813458611398,0.2129292315370458,-0.4360851970338833,-0.13584656022795222,-0.2923491345406681,-0.19745495084321688,0.15618275778816917,-0.13053244433616618,0.07069825448650827,0.3829388472726414,-0.21125285977001254,0.013318599780636979,-0.12607597938970808,-0.15446367536307168,0.43796734948713006,-0.06515592830335183,-0.3039140731170979,0.21661933820846951
Component_7,-0.052164566002142435,-0.06384993042268804,-0.09769840756537891,-0.25159831616565387,0.5585487579420427,-0.10739337089581186,0.10603716133020649,-0.1387648236153094,0.046457332358987025,-0.3501541194186793,0.3055548378221426,0.03559268537729942,-0.1361304423379647,0.05298480436951408,0.43024305183268396,-0.349629569831096,0.026334654252660274,-0.018694624260126386,-0.0052761611589916355,0.07594595259873606,-0.10687151879575156
Component_8,0.004278314626352589,0.009565388539243536,-0.1317224907412913,-0.05941495773951748,0.06485875597644858,-0.3849830848150794,0.2117213053337415,0.06311724815314744,0.49926331098539967,0.28532037612955463,0.1956829161636414,-0.23038883615622455,0.016941424904366686,-0.21633551870990264,-0.0455550453705116,0.2162405217868533,-0.27195685679216747,-0.06936433900998248,-0.3218237201310394,0.2781449707734301,0.010399824580333289
Component_9,-0.03529593845024209,-0.02350186873837946,-0.31907363805782213,0.05282793762410479,-0.21591848679024825,-0.2660703014608275,-0.23064150167098646,-0.05742716304687406,0.049995552799915355,-0.07693553010078553,0.26100368538910357,-0.004254464674659213,0.19952081810576455,0.589784305148953,0.10947560267030608,0.2544516724349193,0.3036696970750977,0.21984832900526846,-0.15219329802098358,-0.01890900735083733,-0.12117045263410682
Component_10,-0.030061276826122224,-0.025973961917492884,-0.22708440802998736,0.5823683060463282,0.19877589090794792,-0.06409250944740098,-0.11246517505714339,0.118336686660871,-0.2264105582496101,-0.13406769164874566,-0.08958390758107869,0.28445106898631395,-0.3991062236472428,-0.18508657212273838,0.07591266116348887,0.20532217879981698,-0.006759365327953,0.0916278038006248,-0.3114217556759465,0.17151554617447137,0.05432359540275011
